medicine,usage,adult_dosage,children_dosage,precautions,side_effects,aliases
Floricot Tablet,Addison's disease. Congenital adrenal hyperplasia,It is used in the treatment of Addison's disease (inadequate production of natural steroid hormones by the adrenal glands) and congenital adrenal hyperplasia (a genetic condition that affects the adrenal glands).Floricot Tablet should be taken with food.,Consult a doctor,"If this medicine is used for a long time, you may have to get regular tests to check your bone density.Before taking this medicine, inform your doctor if you have any problems with your kidneys or liver. Do not stop taking the medicine even if you feel better unless the doctor tell you so.Use of this medicine may cause few common side effects such as behavioral changes, weight gain, bone disorder, and skin thinning","Thinning of skin, Gastrointestinal perforation, Decreased potassium level in blood, Muscle weakness, Irregular menstrual cycle, High blood pressure, Increased glucose level in blood, Sodium retention, Fluid retention, Hypokalemic alkalosis, Steroid myopathy, Osteoporosis, Compression fracture, Necrosis of femoral and humeral heads, Peptic ulcer, Pancreatic inflammation, Delayed wound healing, Bruising, Petechiae (red or purple spot caused by bleeding into the skin), Ecchymosis (discoloration of the skin resulting from bleeding underneath), Excessive hair growth on face, Acneiform eruptions, Facial swelling, Mental impairment, Convulsion, Increased intracranial pressure, Vertigo, Cushingoid syndrome, Growth retardation in children, Increased intraocular pressure, Posterior subcapsular cataract, Carbohydrate intolerance, Latent diabetes mellitus, Negative nitrogen balance","Fludrocortisone (100mcg), HORMONES"
Avonza Tablet,Treatment of HIV infection,"The medicine should be taken in an empty stomach, preferably at bedtime for better efficacy.",Consult a doctor,"These are usually not serious and go away within 2-4 weeks of treatment, however, inform your doctor if they bother you or do not go away. It is important to complete the full course of the treatment until your doctor advises you to stop it.The most common side effects of this medicine are impaired concentration, abnormal dreams, headache, nausea, weakness and fatigue, nasal congestion, diarrhea, rash, dizziness, trouble sleeping, pain, depression, and cough","Headache, Dizziness, Nausea, Insomnia (difficulty in sleeping), Weakness, Depression, Diarrhea, Rash, Pain, Fever, Decreased white blood cell count (neutrophils), Peripheral neuropathy (tingling and numbness of feet and hand), Back pain, Abdominal pain, Anxiety, Vomiting, Joint pain, Pneumonia, Dyspepsia, Muscle pain, Lipodystrophy (skin thickening or pits at the injection site), Hypercholesterolemia (high cholesterol), Increased triglyceride level in blood, Elevated creatinine kinase, Elevated levels of serum amylase, Blood in urine, Increased transaminase level in blood","Lamivudine (300mg), Tenofovir disoproxil fumarate (300mg), Lamivudine (300mg) + Tenofovir disoproxil fumarate (300mg) + Efavirenz (400mg), ANTI INFECTIVES"
Telura Tablet,Treatment of HIV infection,"The medicine should be taken in an empty stomach, preferably at bedtime for better efficacy.",Consult a doctor,"These are usually not serious and go away within 2-4 weeks of treatment, however, inform your doctor if they bother you or do not go away. It is important to complete the full course of the treatment until your doctor advises you to stop it.The most common side effects of this medicine are impaired concentration, abnormal dreams, headache, nausea, weakness and fatigue, nasal congestion, diarrhea, rash, dizziness, trouble sleeping, pain, depression, and cough","Headache, Dizziness, Nausea, Insomnia (difficulty in sleeping), Weakness, Depression, Diarrhea, Rash, Pain, Fever, Decreased white blood cell count (neutrophils), Peripheral neuropathy (tingling and numbness of feet and hand), Back pain, Abdominal pain, Anxiety, Vomiting, Joint pain, Pneumonia, Dyspepsia, Muscle pain, Lipodystrophy (skin thickening or pits at the injection site), Hypercholesterolemia (high cholesterol), Increased triglyceride level in blood, Elevated creatinine kinase, Elevated levels of serum amylase, Blood in urine, Increased transaminase level in blood","Lamivudine (300mg), Tenofovir disoproxil fumarate (300mg), Lamivudine (300mg) + Tenofovir disoproxil fumarate (300mg) + Efavirenz (600mg), ANTI INFECTIVES"
Tenolam E Tablet,Treatment of HIV infection,"The medicine should be taken in an empty stomach, preferably at bedtime for better efficacy.",Consult a doctor,"These are usually not serious and go away within 2-4 weeks of treatment, however, inform your doctor if they bother you or do not go away. It is important to complete the full course of the treatment until your doctor advises you to stop it.The most common side effects of this medicine are impaired concentration, abnormal dreams, headache, nausea, weakness and fatigue, nasal congestion, diarrhea, rash, dizziness, trouble sleeping, pain, depression, and cough","Headache, Dizziness, Nausea, Insomnia (difficulty in sleeping), Weakness, Depression, Diarrhea, Rash, Pain, Fever, Decreased white blood cell count (neutrophils), Peripheral neuropathy (tingling and numbness of feet and hand), Back pain, Abdominal pain, Anxiety, Vomiting, Joint pain, Pneumonia, Dyspepsia, Muscle pain, Lipodystrophy (skin thickening or pits at the injection site), Hypercholesterolemia (high cholesterol), Increased triglyceride level in blood, Elevated creatinine kinase, Elevated levels of serum amylase, Blood in urine, Increased transaminase level in blood","Lamivudine (300mg), Tenofovir disoproxil fumarate (300mg), Lamivudine (300mg) + Tenofovir disoproxil fumarate (300mg) + Efavirenz (600mg), ANTI INFECTIVES"
Trioday Tablet,Treatment of HIV infection,"The medicine should be taken in an empty stomach, preferably at bedtime for better efficacy.",Consult a doctor,"These are usually not serious and go away within 2-4 weeks of treatment, however, inform your doctor if they bother you or do not go away. It is important to complete the full course of the treatment until your doctor advises you to stop it.The most common side effects of this medicine are impaired concentration, abnormal dreams, headache, nausea, weakness and fatigue, nasal congestion, diarrhea, rash, dizziness, trouble sleeping, pain, depression, and cough","Headache, Dizziness, Nausea, Insomnia (difficulty in sleeping), Weakness, Depression, Diarrhea, Rash, Pain, Fever, Decreased white blood cell count (neutrophils), Peripheral neuropathy (tingling and numbness of feet and hand), Back pain, Abdominal pain, Anxiety, Vomiting, Joint pain, Pneumonia, Dyspepsia, Muscle pain, Lipodystrophy (skin thickening or pits at the injection site), Hypercholesterolemia (high cholesterol), Increased triglyceride level in blood, Elevated creatinine kinase, Elevated levels of serum amylase, Blood in urine, Increased transaminase level in blood","Lamivudine (300mg), Tenofovir disoproxil fumarate (300mg), Lamivudine (300mg) + Tenofovir disoproxil fumarate (300mg) + Efavirenz (600mg), ANTI INFECTIVES"
Balila 25mg Capsule,Managing Hypoglycemia (low blood sugar),Consult a doctor,Consult a doctor,Consult a doctor,"Sodium retention, Nausea, Vomiting, Abdominal pain, Diarrhea, Hypertrichosis lanuginosa, Decreased appetite, Increased uric acid level in blood, Extrapyramidal symptoms, Decreased white blood cell count (lymphocytes), Low blood platelets, Decreased hemoglobin, Increased white blood cell count (eosinophils), Bleeding, Hypersensitivity, Decreased immunoglobulins in infants, Excessive hair growth on face, Unusual production of breast milk in women and men, Pancreatic inflammation, Increased androgen levels, Decreased libido, Headache, Dizziness, Blurred vision, Cataract, Ring scotoma, Double vision, Lacrimation (flow of tears), Hypotension (low blood pressure), Enlarged heart, Cardiac failure, Arrhythmia (irregular heartbeats), Breathlessness, Pulmonary hypertension (high blood pressure), Increased aspartate aminotransferase, Increased alkaline phosphatase level in blood, Musculoskeletal (bone, muscle or joint) pain, Azotemia (increased nitrogen containing compounds level in blood), Decreased creatinine clearance, Nephritic syndrome, Voice change, Abnormal faces in children","Diazoxide (25mg), ANTI DIABETIC"
Balila Capsule,Managing Hypoglycemia (low blood sugar),Consult a doctor,Consult a doctor,Consult a doctor,"Sodium retention, Nausea, Vomiting, Abdominal pain, Diarrhea, Hypertrichosis lanuginosa, Decreased appetite, Increased uric acid level in blood, Extrapyramidal symptoms, Decreased white blood cell count (lymphocytes), Low blood platelets, Decreased hemoglobin, Increased white blood cell count (eosinophils), Bleeding, Hypersensitivity, Decreased immunoglobulins in infants, Excessive hair growth on face, Unusual production of breast milk in women and men, Pancreatic inflammation, Increased androgen levels, Decreased libido, Headache, Dizziness, Blurred vision, Cataract, Ring scotoma, Double vision, Lacrimation (flow of tears), Hypotension (low blood pressure), Enlarged heart, Cardiac failure, Arrhythmia (irregular heartbeats), Breathlessness, Pulmonary hypertension (high blood pressure), Increased aspartate aminotransferase, Increased alkaline phosphatase level in blood, Musculoskeletal (bone, muscle or joint) pain, Azotemia (increased nitrogen containing compounds level in blood), Decreased creatinine clearance, Nephritic syndrome, Voice change, Abnormal faces in children","Diazoxide (25mg), ANTI DIABETIC"
Lynx 500 Capsule,Bacterial infections,It should be taken on an empty stomach.,Consult a doctor,"These are usually mild but let your doctor know if they bother you or do not go away.Before using it, you should tell your doctor if you have any liver or kidney problems, if you have any problems with your bowels (intestines) or if you have ever had bloody diarrhea caused by taking antibiotics. Taking it at the same time every day will help you to remember to take it","Vomiting, Headache, Nausea, Diarrhea, Skin rash, Dizziness, Itching, Ringing in ear, Vertigo, Glossitis (tongue inflammation), Stomatitis (Inflammation of the mouth), Abdominal pain, Vaginal infection, Decreased blood cells (red cells, white cells, and platelets), Agranulocytosis (deficiency of granulocytes in the blood), Aplastic anemia, Anaphylactic reaction, Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Jaundice, Abnormal liver function tests, Urticaria, Sleepiness, Injection site reaction, Hypotension (low blood pressure), Renal impairment, Toxic epidermal necrolysis, Stevens-Johnson syndrome, Pseudomembranous colitis","Lincomycin (500mg), ANTI INFECTIVES"
PTU Tablet,Hyperthyroidism,It can be taken with or without food.,Consult a doctor,"Let your doctor know if any of these side effects do not go away with time or get worse.Before using this medicine, inform your doctor if you have any problems with your liver or kidneys. Do not stop taking the medicine even if you feel better unless the doctor tells you so.Taking this medicine may cause some common side effects such as skin rash, hair loss, headache, pain (joint, nerve or muscle pain), nausea, and paresthesia (tingling or pricking sensation)","Hair loss, Headache, Nausea, Paresthesia (tingling or pricking sensation), Joint pain, Vomiting, Dizziness, Drowsiness, Itching, Urticaria, Papular rash, Agranulocytosis (deficiency of granulocytes in the blood), Liver toxicity, Vasculitis, Depigmentation of hair, Abdominal discomfort, Drug fever, Swelling of lymph nodes, Enlarged spleen, Hepatitis (viral infection of liver), Cholestatic jaundice, Neuritis, Nephritis, Salivary gland inflammation, Corneal inflammation, Conjunctival disorder, Connective tissue disorders, Joint inflammation, Lupus erythematosus, Ototoxicity","Propyl Thiouracil (50mg), HORMONES"
Goselin 3.6mg Injection,Prostate cancer. Breast cancer. Endometriosis. Uterine fibroids. Female infertility,Your doctor will decide what dose is necessary and how often you need to take it.,Consult a doctor,"Consult with your doctor, if this bothers you or does not go away.Before taking this medicine, inform your doctor if you have a history of drinking alcohol and diabetes. It may take several weeks or months for you to see or feel the benefits but do not stop taking it unless your doctor tells you to.Hot flashes is very common side effect of this medicine","Decreased libido, Erectile dysfunction, Depression, Headache, Dizziness, Nausea, High blood pressure, Breast atrophy, Pain during sexual intercourse, Hot flushes, Sexual dysfunction, Urinary tract disorder, Lethargy, Pain, Edema (swelling), Upper respiratory tract infection, Rash, Sweating, Decreased appetite, Chronic obstructive pulmonary disease (COPD), Heart failure, Insomnia (difficulty in sleeping), Vaginal inflammation, Emotional lability, Acne, Breast enlargement, Pelvic discomfort, Application site reactions (burning, irritation, itching and redness), Pain during periods, Uterine bleeding","Goserelin acetate (3.6mg), HORMONES"
